config,fold_id,horizon,mae,rmse,rmsse,wape,smape,bias,n_series,n_rmsse_excluded,n_features,train_rows,best_iteration,train_seconds,config_hash,mode,reduced_run
A,F1,7,1.345436482671371,2.5023518088289167,0.6979318472440929,0.9465382290150348,138.00302308010302,0.011645742436827408,200,0,19,290424,88,2.7,e7086b4468a5,development,False
A,F1,14,1.4400431117300185,2.6206190417792734,0.7741993353080193,0.9218382974037613,136.47716391629817,-0.06951732141815549,200,0,19,290424,88,2.7,e7086b4468a5,development,False
A,F1,28,1.3580164228328764,2.3553763632792455,0.755143529338848,0.9488324351670752,137.61291916111924,0.020430001231750587,200,0,19,290424,88,2.7,e7086b4468a5,development,False
B,F1,7,1.338425154408582,2.354315458996816,0.6956891723245715,0.9416056362673441,136.32996994173146,0.12270364805586426,200,0,36,290424,146,3.4,e7086b4468a5,development,False
B,F1,14,1.420905669201826,2.4986314620897643,0.7625754346333047,0.9095875340112284,135.56831564016736,0.021325542094908185,200,0,36,290424,146,3.4,e7086b4468a5,development,False
B,F1,28,1.3268349491577283,2.2604500159716028,0.7427934833932558,0.9270462526866223,137.6140754221578,0.04105533031100433,200,0,36,290424,146,3.4,e7086b4468a5,development,False
C,F1,7,1.3480027107036134,2.37380972153739,0.6974988767956234,0.9483436155703814,136.15537297253397,0.13349245570491286,200,0,43,290424,103,2.7,e7086b4468a5,development,False
C,F1,14,1.4256778728270016,2.490171698868082,0.7626256404630902,0.9126424425961602,135.19807887692068,0.042764978262032516,200,0,43,290424,103,2.7,e7086b4468a5,development,False
C,F1,28,1.3262819093593003,2.2382988313520964,0.7424625210583018,0.926659849334009,137.14603934438063,0.05646315327296109,200,0,43,290424,103,2.7,e7086b4468a5,development,False
D,F1,7,1.3499262362572553,2.394412273262741,0.6969755143395042,0.9496968496282198,136.22686036299046,0.12534053208730964,200,0,47,290424,98,3.2,e7086b4468a5,development,False
D,F1,14,1.4270739652056772,2.497688973542455,0.7636918427012054,0.9135361459935747,135.2521489607758,0.036131543463464824,200,0,47,290424,98,3.2,e7086b4468a5,development,False
D,F1,28,1.3346332741745166,2.2579938790976124,0.7442561898159755,0.932494864052064,136.9846420113119,0.05587893761999989,200,0,47,290424,98,3.2,e7086b4468a5,development,False
A,F2,7,1.1669847404659925,1.8627643622462162,0.6314867205922704,0.7981331883988225,132.10400707279223,-0.03228304446676393,200,0,19,296024,59,1.8,e7086b4468a5,development,False
A,F2,14,1.194432702916691,1.9061596916947212,0.6623253848258116,0.8309097063768286,133.32490918249724,-0.012169402989171248,200,0,19,296024,59,1.8,e7086b4468a5,development,False
A,F2,28,1.2910048589901348,2.2669322358099766,0.725406377046882,0.8519475854754602,133.79274438687295,-0.04209528589118786,200,0,19,296024,59,1.8,e7086b4468a5,development,False
B,F2,7,1.143899239154224,1.7881272617036477,0.6211744000784849,0.7823443746047453,131.2937411640215,-0.0034432936658804676,200,0,36,296024,63,2.3,e7086b4468a5,development,False
B,F2,14,1.1710941002936919,1.8513591562807623,0.646024855746696,0.8146741567260465,133.54186673132142,0.030792802209416485,200,0,36,296024,63,2.3,e7086b4468a5,development,False
B,F2,28,1.285854001993842,2.2600251190171305,0.7184110304395588,0.8485484811649205,133.95618912256163,-0.015892723074167732,200,0,36,296024,63,2.3,e7086b4468a5,development,False
C,F2,7,1.1399386640991471,1.7941615050714819,0.61950827873885,0.7796356276203253,131.3942121056165,-0.0017214775489546696,200,0,43,296024,102,3.9,e7086b4468a5,development,False
C,F2,14,1.1698479405593099,1.855758857065438,0.6447749292045151,0.8138072629977807,133.48141120622063,0.03468301250415849,200,0,43,296024,102,3.9,e7086b4468a5,development,False
C,F2,28,1.2819081692792307,2.2691478877360574,0.7152359407141609,0.8459445849591907,134.4681469439643,-0.017841623170133714,200,0,43,296024,102,3.9,e7086b4468a5,development,False
D,F2,7,1.1572148666882036,1.8383711656102912,0.6180570934372447,0.7914513011057572,131.5662690663585,0.014776837422100472,200,0,47,296024,132,4.1,e7086b4468a5,development,False
D,F2,14,1.1865687076198506,1.9050398595002975,0.647267414400671,0.8254391009529395,133.64595498053558,0.032878343319298245,200,0,47,296024,132,4.1,e7086b4468a5,development,False
D,F2,28,1.2982435358251496,2.3202653980132273,0.719661634041489,0.8567244638959272,134.70039477276038,-0.033548445564063244,200,0,47,296024,132,4.1,e7086b4468a5,development,False
A,F3,7,1.126588669940129,1.856774334930698,0.6068656351925508,0.886579054477898,137.53716990321584,0.14279732656883123,200,0,19,301624,519,5.9,e7086b4468a5,development,False
A,F3,14,1.1047411717552689,1.8054177641321127,0.6196956564021664,0.8738065765295912,134.85640897865437,0.14431313756847408,200,0,19,301624,519,5.9,e7086b4468a5,development,False
A,F3,28,1.1218532368898622,1.8682939617595236,0.6593669980950204,0.871825995917739,133.41656771201104,0.10440539354834528,200,0,19,301624,519,5.9,e7086b4468a5,development,False
B,F3,7,1.1264151190404514,1.8812297076104074,0.6062201921261442,0.8864424770413896,138.15851185299945,0.12956651349436688,200,0,36,301624,214,4.3,e7086b4468a5,development,False
B,F3,14,1.1093265075636118,1.848583821594813,0.6189857920793033,0.8774333958130263,135.40689229396878,0.1539173037706759,200,0,36,301624,214,4.3,e7086b4468a5,development,False
B,F3,28,1.1273171592117806,1.911399827478072,0.6594007318775006,0.876072174796832,133.83509306682222,0.11106233298504102,200,0,36,301624,214,4.3,e7086b4468a5,development,False
